10	2	0
1	0	0
63	44	0
4	2	0
1501	16	4
1	6	0
16	0	0
144	12	0
66	12	0
9	5	0
277	43	4
4	2	0
1	5	0
1271	36	0
9	0	0
2	14	0
4	4	0
113	2	0
147	48	6
4	4	0
5	2	0
0	0	2
0	0	4
16	0	0
64	8	0
1392	28	2
101	0	0
9	0	0
1	3	0
51	23	0
9	0	0
9	5	0
4	6	0
73	6	0
1	0	2
4	0	0
16	4	0
7024	338	0
4	2	0
4	2	0
107	1	4
19	2	0
143	19	0
4	1	0
4	0	0
36	0	0
1	15	0
9	0	0
13	9	0
3	2	0
498	17	4
9	0	0
49	16	0
1	3	0
25	5	0
38	0	2
4	4	0
4	0	0
81	18	0
4	0	0
9	3	0
4	2	0
5	0	0
192	84	0
45	8	2
16	0	0
16	14	2
4	2	0
5	2	0
25	5	0
4	0	0
4	2	0
2	3	0
34	8	0
4	0	2
62	2	0
285	34	0
4	0	0
48	12	0
16	4	0
9	3	0
9	6	0
4	2	0
4	0	0
37	13	0
81	14	0
6	0	0
0	0	10
1	2	0
5	6	0
9	0	0
2675	0	0
4	0	0
25	5	0
4	0	0
4	0	0
0	0	4
905	88	2
1	1	0
4	2	0
